unit_id,unit_title,chapter_or_arc,core_question,feature_treatment,existing_scene_ids,evidence_ids,decision_ids,dramatic_payoff,required_review
PHL-01,Public plurality before inquiry,Chapters 1 and 27,"Can a city contain rival accounts of truth without forcing uniformity?",opening_fragments,"SC-009;SC-010","EV-0035;EV-0037;EV-0045;EV-0047","AD-0014;AD-0018;AD-0020","Establishes inquiry as civic practice before Manimekalai is ready to participate","Classical Tamil; religious history; production design"
PHL-02,Ordered knowledge and testimony,Chapter 27 Alavaivadi or Vaidika reasoning,"How does a claim become valid knowledge?",full_encounter,"SC-010","EV-0037;EV-0044;EV-0046","AD-0015;AD-0017;AD-0020","Separates extraordinary experience from publicly defensible proof","Indian epistemology; Classical Tamil; dialogue"
PHL-03,Cosmic order and transmitted authority,Chapter 27 deity-centred and Vedic voices,"What grounds creation preservation and inherited truth?",compressed_plural_sequence,"SC-010","EV-0037;EV-0045","AD-0014;AD-0015;AD-0018","Expands Manimekalai's frame beyond private causation without resolving suffering","Early South Indian religion; Classical Tamil; costume"
PHL-04,Fate and responsibility,Chapter 27 Ajivika representation,"If existence follows a fixed course why warn feed or restrain?",full_encounter,"SC-010","EV-0037;EV-0044","AD-0015;AD-0017;AD-0018","Clarifies that causal structure cannot become moral excuse","Ajivika studies; Classical Tamil; dialogue"
PHL-05,Restraint and non-harm,Chapter 27 Nikandavadi or Jain-associated representation,"How can action avoid creating further harm?",full_encounter,"SC-010","EV-0037;EV-0042;EV-0044","AD-0015;AD-0017;AD-0018","Complicates urgent service with attention to secondary harm and discipline","Jain studies; Tamil epigraphy; disability and food-service review"
PHL-06,Nature and witnessing awareness,Chapter 27 Sankhya representation,"What changes and what witnesses change?",compressed_distinct_encounter,"SC-010","EV-0037;EV-0044","AD-0015;AD-0017","Supports disguise body feeling memory and awareness without a full enumeration","Sankhya specialist; Classical Tamil; performance"
PHL-07,Substance quality and relation,Chapter 27 Vaisheshika representation,"What is a thing and what are its qualities actions and relations?",merge_with_reasoning_approach,"SC-010;SC-012;SC-104","EV-0037;EV-0039;EV-0046","AD-0015;AD-0016;AD-0017","Prepares the distinction between resemblance identity coincidence and causation","Vaisheshika specialist; Classical Tamil; dialogue"
PHL-08,Body consciousness and rebirth challenge,Chapter 27 Bhutavada or Ulogayata,"Why infer another birth from private experience?",full_culminating_vanji_encounter,"SC-011","EV-0038;EV-0044;EV-0047","AD-0015;AD-0017;AD-0020","Leaves Manimekalai unsettled and humble about the public status of memory","Indian materialism; Classical Tamil; Buddhist studies"
PHL-09,Perception inference and fallacy,Chapter 29,"How can compassionate action avoid projection?",major_dialogic_lesson,"SC-012;SC-104","EV-0039;EV-0046;EV-0220;EV-0225","AD-0016;AD-0017;AD-0116;AD-0117","Returns formal reasoning to Kanchanan Rajamadevi Udayakumaran and Manimekalai's own possible errors","Buddhist logic; Classical Tamil; actor rehearsal"
PHL-10,Dependent arising as plot recognition,Chapter 30,"How does suffering continue through conditions?",intercut_causal_sequence,"SC-013","EV-0040;EV-0041;EV-0048;EV-0058;EV-0059","AD-0016;AD-0017;AD-0021;AD-0027","Names patterns already shown in desire killing grief hunger and institutional failure","Buddhist studies; screenplay; editor"
PHL-11,Food as ethical practice,Aputhiran Aadhirai Ulaga Aravi and Kanchi,"What does compassion require materially?",recurring_action_spine,"SC-017;SC-018;SC-101;SC-124;SC-153;SC-154","EV-0049;EV-0052;EV-0054;EV-0067;EV-0315;EV-0318","AD-0021;AD-0023;AD-0024;AD-0168;AD-0169","Prevents doctrine from separating from bodies labour access and recipient dignity","Food history; disability access; public health; Classical Tamil"
PHL-12,Karma without abandonment,Across death grief famine and rebirth arcs,"Can causal continuity be accepted without blaming sufferers or erasing present responsibility?",recurring_character_test,"SC-117;SC-136;SC-145;SC-146","EV-0066;EV-0254;EV-0291;EV-0300;EV-0305","AD-0028;AD-0129;AD-0150;AD-0156;AD-0161","Separates explanation from legal verdict social victim-blaming and royal desertion","Buddhist studies; ethics; legal history"
PHL-13,Refuge discipline and chosen practice,Chapter 30 and ending,"What does liberation look like without indifference or self-erasure?",ending_commitment,"SC-014","EV-0040;EV-0041;EV-0157","AD-0016;AD-0017;AD-0079;AD-0080","Ends with disciplined compassionate continuation rather than instant perfection","Buddhist studies; Classical Tamil; performance; editor"
