scene_id,scene_title,function,evidence_links,decision_links,status
SC-138,The King Without Hunger,Introduce prosperous ruler before memory crisis,EV-0295 EV-0299,AD-0153 AD-0156,proposed
SC-139,The News of Another Life,Reveal abandonment and previous birth tension,EV-0297 EV-0298,AD-0154,proposed
SC-140,The Minister's Warning,Conflict between liberation and responsibility,EV-0300,AD-0155 AD-0157,proposed
SC-141,The Sea Journey,Portray Manipallavam as inward journey,EV-0301,AD-0158,proposed
SC-142,The Mirror of the Peedihai,Reveal Aputhiran memory,EV-0302,AD-0154,proposed
SC-143,The Bowl and the Beggar,Connect king with former service,EV-0303 EV-0304,AD-0159,proposed
SC-144,The King Returns,Resolve temptation to abandon throne,EV-0305 EV-0306,AD-0160 AD-0161,proposed
SC-145,The Granary Question,Show governance through compassion,AD-0161,proposed
SC-146,The Vessel's Lesson,Separate ownership from service,EV-0305,AD-0159,proposed
SC-147,Two Lives One Duty,Close rebirth arc without erasing present identity,EV-0305,AD-0153 AD-0162,proposed
