evidence_id,evidence_type,title,source_work,chapter_or_location,claim_or_observation,rights_status,verification_status,notes
EV-0279,CAUTION,Name age cosmological status and weapon are unresolved,Project methodology,Character bible,"Current research does not establish one final name form age biological category community equivalence or historical sword type for Kanchanan",original,approved,"Binding casting costume VFX weapon dialogue and publicity safeguard"
EV-0280,TEXT,Kanchanan and Kayasandihai travel together,Manimekalai,Chapter 17 lines around 020 to 030,"Kayasandihai says she came with her husband Kanchanan from Kanchanapuram in the Vidyadhara world to the Potiya mountain region",citation_only,provisional,"Verify place community and kinship vocabulary"
EV-0281,TEXT,Kanchanan supports Kayasandihai during the curse,Manimekalai,Chapter 17 lines around 050 to 070,"He tries to take her through the sky brings fruits roots and vegetables and identifies a land route toward people who feed those in distress",citation_only,provisional,"Preserve practical care and limits of his ability"
EV-0282,TEXT,Kanchanan returns during Indra festival,Manimekalai,Chapter 17 lines around 070,"Kayasandihai says her husband comes to see her on the day of Indra festival and leaves counting the time until the curse ends",citation_only,provisional,"Verify frequency duration and exact counting language"
EV-0283,TEXT,Kayasandihai is cured and leaves independently,Manimekalai,Chapter 17 lines around 070 to 080,"After Manimekalai cures her hunger Kayasandihai directs her to the Ulaga Aravi and departs for the sky world",citation_only,provisional,"Retain her agency separate from husband narrative"
EV-0284,TEXT,Kayasandihai dies beyond Kanchanan's knowledge,Manimekalai,Chapter 20 lines around 110 to 125,"The Kanthil Pavai says Kayasandihai was swallowed by the guardian of the Vindhya mountain while returning through a forbidden route",citation_only,provisional,"Verify route prohibition goddess name and death verb"
EV-0285,TEXT,Kanchanan approaches Manimekalai as his wife,Manimekalai,Chapter 20 lines around 030 to 040,"Seeing Manimekalai in Kayasandihai's form he approaches lovingly recalls their years together and praises her",citation_only,provisional,"Verify physical approach speech and recognition details"
EV-0286,TEXT,Unexpected response becomes evidence in his mind,Manimekalai,Chapter 20 lines around 040 to 080,"The apparent wife does not respond to his praise and instead speaks to Udayakumaran leading him to interpret speech smiles and gaze as signs of a lover",citation_only,provisional,"Observed behaviour and inference must remain distinct"
EV-0287,TEXT,Kanchanan conceals himself with a sword,Manimekalai,Chapter 20 lines around 075 to 080,"His anger burns and he enters the temple with a shining sword and hides like a snake in a hole",citation_only,provisional,"Creates duration opportunity and weapon continuity before killing"
EV-0288,TEXT,Kanchanan kills Udayakumaran at night,Manimekalai,Chapter 20 lines around 090 to 110,"When the prince returns at midnight Kanchanan believes he has come for his wife rises behind him and strikes with the sword",citation_only,provisional,"Exact wound and weapon action require Tamil review"
EV-0289,TEXT,The pillar figure corrects the mistaken identity,Manimekalai,Chapter 20 lines around 110 to 120,"The Kanthil Pavai stops Kanchanan from approaching and tells him the woman is Manimekalai disguised as Kayasandihai",citation_only,provisional,"Central revelation and identity evidence"
EV-0290,TEXT,Fate and cruel action are stated together,Manimekalai,Chapter 20 lines around 120 to 129,"The divine figure says Udayakumaran's fate brought his death but also tells Kanchanan he committed a cruel deed and will face its result",citation_only,provisional,"Binding karma and accountability distinction"
EV-0291,TEXT,Kanchanan departs sorrowing,Manimekalai,Chapter 20 ending,"After hearing the revelation Kanchanan feels sorry for his deed and returns to his place in the sky",citation_only,provisional,"Text does not establish completed repair or redemption"
EV-0292,INTERPRETATION,Long care hardens into possessive expectation,Project adaptation,Character bible,"Repeated support and separation create understandable hope but become dangerous when Kanchanan treats resemblance and expected response as proof of marital entitlement",original,provisional,"Actor-facing interpretation not clinical diagnosis"
EV-0293,CAUTION,No fantasy racial coding for Vidyadhara identity,Project methodology,Character bible,"Sky-world difference cannot be represented automatically through wings metallic skin racialised makeup or generic northern celestial costume",original,approved,"Binding casting VFX costume and publicity rule"
EV-0294,CAUTION,Mistake jealousy and fate do not excuse lethal violence,Project methodology,Character bible,"Incomplete knowledge emotional pain and karmic convergence can explain the event without converting the strike into accident self-defence honour or justified protection",original,approved,"Binding screenplay choreography edit music and publicity rule"
